conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username;;;;;;;;;;
2015885627049574639,Mon Jan 26 20:32:41 +0000 2026,0,How come dengan kita join Board of Peace penderitaan rakyat ~Gaza~ PALESTINA (gw ga paham knp ga disebut Palestina) SANGAT BERKURANG?!,2015885627049574639,,,in,,0,0,0,https://x.com/undefined/status/2015885627049574639,1410493837047336962,;;;;;;;;;;
2015882406994309308,Mon Jan 26 20:19:54 +0000 2026,0,Yang bikin was2 itu atau cemas itu ada saat berita politik negara malahan kayak kemarin Indonesia ikut gabung board of peace trus baru2 ini ponakan prabowo resmi jadi pejabat bank BI ,2015882409917710566,,jaepriss,in,,0,1,0,https://x.com/undefined/status/2015882409917710566,1611149903337783296,;;;;;;;;;;
2015594314836107265,Mon Jan 26 19:42:34 +0000 2026,8,@regar_op0sisi tolong ya jgn sebut satu indonesia dia doang yg tanggung jawab sama pilihan gblknya! orang waras mah gak setuju join peace of board yg malah isinya negara bobrok semua...,2015873014911598890,,regar_op0sisi,in,,0,0,0,https://x.com/undefined/status/2015873014911598890,1046214083710603264,;;;;;;;;;;
2015755902809407685,Mon Jan 26 19:18:18 +0000 2026,1,@ekowboy2 Pirtinyiinnyi apakah Israel mau two state ? Terus kemana posisi palestina dalam board of Peace itu,2015866906620920087,,ekowboy2,in,,0,0,0,https://x.com/undefined/status/2015866906620920087,1494202164201209859,;;;;;;;;;;
2015797121438679391,Mon Jan 26 14:41:00 +0000 2026,0,ICWA Dorong RI Buka Opsi Tarik Diri dari Board of Peace Bentukan Trump https://t.co/OvPljCSNyp,2015797121438679391,,,in,,0,0,0,https://x.com/undefined/status/2015797121438679391,1484562767478935553,;;;;;;;;;;
2015251561757417584,Mon Jan 26 14:34:37 +0000 2026,0,@Nobody_81st @stj1903 @99propaganda Two state solutions? Two state solutions dimananya? Yg dilibatkan cuma israel doang di board of peace sedangkan Palestina ga masuk. Ingat ya Palestina itu anggota PBB dan kenegaraannya diakui lbh dri 140 negara di dunia tapi ga dilibatkan. Di sebelah mana TWO nya? Jgn goblok,2015795516379111859,,Nobody_81st,in,,0,2,0,https://x.com/undefined/status/2015795516379111859,1968562271233482752,;;;;;;;;;;
2015794411242987873,Mon Jan 26 14:30:13 +0000 2026,0,Palestinanya kenapa gak ikut kalau beneran board of peace?,2015794411242987873,,,in,,0,0,0,https://x.com/undefined/status/2015794411242987873,1959196995396268032,;;;;;;;;;;
2015790785615233329,Mon Jan 26 14:15:49 +0000 2026,10,Timeline gw berantakan bener anime &gt; gender war &gt; indo-malon war &gt; Board of Peace &gt; Free Iran &gt; kriket India (entah gimana masuk ke TL &gt; game &gt; nier &gt; genshin impact &gt; HENTONG &gt; bokep chudai.,2015790785615233329,,,in,,1,1,3,https://x.com/undefined/status/2015790785615233329,1706739906750693376,
2015388416586752117,Mon Jan 26 14:12:58 +0000 2026,0,@toe_giman Anggota Board of Peace ikut kotor tangannya,2015790067089121300,,toe_giman,in,,0,0,0,https://x.com/undefined/status/2015790067089121300,607940461,;;;;;;;;;;
2015789779405922667,Mon Jan 26 14:11:49 +0000 2026,0,board of peace tapi ada israel itu maksudnya gimana taiiiiiik bener nih pres1den satu,2015789779405922667,,,in,,0,0,0,https://x.com/undefined/status/2015789779405922667,1677992582461403136,;;;;;;;;;;
